Locality,Strike/trend,Dip/plunge,GPS shorthand,,Inverted?,X GPS,Y GPS,Full GPS,Rock type/contact,Notes
il,158,76,70,88,,284704,4753881,284704 4753881,La Vid bedding,3. fold on hill
il,158,50,68,86,,284684,4753862,284684 4753862,La Vid bedding,4. fold on hill
il,230,47,70,85,,284700,4753849,284700 4753849,La Vid bedding,5. fold on hill
il,258,28,69,83,,284688,4753834,284688 4753834,La Vid bedding,6. fold on hill
il,221,36,67,82,,284667,4753821,284667 4753821,La Vid bedding,7. fold on hill
il,216,40,63,80,,284629,4753804,284629 4753804,La Vid bedding,8. fold on hill
il,250,32,62,79,,284615,4753793,284615 4753793,La Vid bedding,9. fold on hill
ja,320,70,10,3,,284099,4754030,284099 4754030,La Vid bedding,"approx, tobacco shales may have slumped"
jb,173,85,14,4,,284135,4754040,284135 4754040,La Vid bedding,
jb,258,74,20,94,,284195,4753937,284195 4753937,La Vid bedding,
jc,271,52,25,91,,284246,4753910,284246 4753910,La Vid bedding,nose of fold?
jc,205,42,25,91,,284247,4753910,284247 4753910,La Vid bedding,nose of fold?
jd,260,28,40,90,,284401,4752897,284401 4752897,La Vid bedding,
je,218,16,35,82,,284345,4753815,284345 4753815,La Vid bedding,
je,236,30,33,78,,284327,4753779,284327 4753779,La Vid bedding,
jf,239,37,15,72,,284152,4753720,284152 4753720,La Vid bedding,
jg,265,30,12,68,,284124,4753684,284124 4753684,Oville bedding,
jg,204,45,9,69,,284092,4753691,284092 4753691,La Vid bedding,
jh,225,60,14,69,,284144,4753687,284144 4753687,La Vid bedding,
ji,105,72,7,71,,284069,4753706,284069 4753706,San Pedro bedding,
,199,72,8,73,,284081,4752726,284081 4752726,La Vid bedding,
,317,42,8,76,,284078,4753762,284078 4753762,La Vid bedding,
,292,44,5,80,,284050,4753804,284050 4753804,La Vid bedding,
jk,256,19,94,76,,284942,4753761,284942 4753761,San Pedro bedding,
jk,218,22,92,77,,283919,4753766,283919 4753766,San Pedro bedding,
jk,268,20,95,77,,283952,4753770,283952 4753770,San Pedro bedding,
ka,277,70,7,2,,284069,4753015,284069 4753015,La Vid bedding,
kb,305,80,1,98,,284011,4753979,284011 4753979,La Vid bedding,
kc,312,48,91,91,,284909,4753908,284909 4753908,La Vid bedding,
ke,293,58,85,89,,283852,4753893,283852 4753893,San Pedro bedding,
ke,300,42,84,89,,283837,4753894,283837 4753894,San Pedro bedding,
kf,270,50,81,88,,283814,4753883,283814 4753883,San Pedro bedding,
,270,55,74,88,,283742,4753882,283742 4753882,San Pedro bedding,
,276,64,74,71,,283743,4753705,283743 4753705,Oville bedding,
,250,46,79,72,,283787,4753721,283787 4753721,Oville bedding,
kg,300,62,83,64,,283828,4753644,283828 4753644,Oville bedding,
kh,275,56,89,60,,283890,4753599,283890 4753599,Oville bedding,
kh,277,58,86,58,,283856,4753581,283856 4753581,Barrios bedding,
kh,276,60,86,58,,283857,4753581,283857 4753581,Barrios bedding,
kh,284,59,86,58,,283858,4753581,283858 4753581,Barrios bedding,
la,306,72,84,98,,283836,4753984,283836 4753984,La Vid bedding,
lb,270,56,76,97,,283760,4753968,283760 4753968,San Pedro bedding,
lc,301,52,90,65,,283899,4753654,283899 4753654,Oville bedding,
ld,289,32,94,67,,283942,4753672,283942 4753672,Formigoso bedding,
le,233,50,5,67,,284050,4753669,284050 4753669,Oville bedding,
lf,130,74,5,73,,284045,4753725,284045 4753725,San Pedro bedding,
lg,132,66,99,68,,283993,4753682,283993 4753682,San Pedro bedding,
lg,240,56,99,68,,283994,4753682,283994 4753682,Formigoso bedding,
ma,277,55,22,67,,284221,4753666,284221 4753666,Oville bedding,
mc,220,58,20,70,,284195,4753700,284195 4753700,La Vid bedding,
md,249,65,24,69,,284238,4753692,284238 4753692,Oville bedding,
me,260,63,33,69,,284331,4753685,284331 4753685,Oville bedding,
mf,251,60,50,69,,284496,4753692,284496 4753692,San Pedro bedding,
mf,257,24,50,69,,284496,4753692,284496 4753692,La Vid bedding,
mf,244,65,54,71,,284539,4753711,284539 4753711,La Vid bedding,
mg,262,48,58,67,,284575,4753668,284575 4753668,La Vid bedding,
mh,294,42,66,61,,284655,4753613,284655 4753613,San Pedro bedding,
na,274,66,8,16,,284077,4753162,284077 4753162,Formigoso bedding,
nb,280,67,15,5,,284152,4753047,284152 4753047,Formigoso bedding,
nc,279,35,15,21,,284149,4753205,284149 4753205,Formigoso bedding,
ne,276,61,45,0,,284449,4753001,284449 4753001,Formigoso bedding,
nf,272,72,41,13,,284414,4753133,284414 4753133,Barrios bedding,
ng,277,64,45,95,,284450,4752951,284450 4752951,San Pedro bedding,
nh,272,52,51,86,,284511,4752862,284511 4752862,San Pedro bedding,
,288,62,56,83,,284562,4752831,284562 4752831,San Pedro bedding,
,276,62,65,82,,284646,4752823,284646 4752823,San Pedro bedding,
ni,290,51,71,80,,284707,4752803,284707 4752803,San Pedro bedding,
nj,282,67,62,79,,284617,4752786,284617 4752786,La Vid bedding,
oa,281,60,51,25,,284514,4753246,284514 4753246,Barrios bedding,
ob,276,64,59,40,,284590,4753395,284590 4753395,Barrios bedding,
oc,282,50,69,49,,284687,4753492,284687 4753492,Oville bedding,
od,275,66,3,53,,285028,4753532,285028 4753532,Oville bedding,
oe,,,11,64,,285110,4753635,285110 4753635,San Pedro bedding,suss think it's a boulder
of,298,32,10,72,,285104,4753717,285104 4753717,Formigoso bedding,
pa,287,56,45,45,,284445,4753454,284445 4753454,Barrios bedding,
pb,247,60,10,53,,285101,4753530,285101 4753530,Oville bedding,bit suss
pb,240,56,10,53,,285101,4753530,285101 4753530,Oville bedding,bit suss
pb,272,56,10,53,,285101,4753530,285101 4753530,Oville bedding,
,257,52,24,55,,285235,4753548,285235 4753548,Oville bedding,
pc,322,72,45,54,,285450,4753535,285450 4753535,Barrios bedding,
pd,259,72,39,38,,285390,4753375,285390 4753375,Oville bedding,
pe,352,69,37,63,,285374,4753630,285374 4753630,Barrios bedding,likely at the Barrios / Formigoso contact
qa,245,80,0,79,,285003,4753787,285003 4753787,San Pedro bedding,
qb,353,34,1,79,,285005,4753794,285005 4753794,San Pedro bedding,
qc,358,36,95,1,,284947,4754010,284947 4754010,San Pedro bedding,
qd,318,38,93,5,,284931,4754049,284931 4754049,Formigoso bedding,San Pedro 10m away - contact is here
qe,333,56,91,99,,284913,4753985,284913 4753985,San Pedro bedding,
qf,312,68,86,91,,284857,4753906,284857 4753906,La Vid bedding,
qf,321,70,86,91,,284857,4753906,284857 4753906,San Pedro bedding,
qg,85,15,88,83,,284877,4753832,284877 4753832,San Pedro bedding,
,48,31,80,81,,284797,4753814,284797 4753814,La Vid bedding,
