Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,TYPE OF MATERIAL,METHOD,COMMENT,INSTITUTION,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FE2O3T(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),LOI(WT%),LI(PPM),BE(PPM),B(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),AS(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),AG(PPM),CD(PPM),SN(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,SR87_SR86,PB206_PB204,PB207_PB204,PB208_PB204,AGE(KA)
2003, [7890] BOURDON E. (2003),samp. PICH4C,35229-PICH 4C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,MAGNESIAN,,,QUATERNARY,WHOLE ROCK,MS,,LABORATOIRE DE GEOCHIMIE ISOTOPIQUE DE L^MUR 6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.001,15.591,38.723,
2003, [7890] BOURDON E. (2003),samp. PICH9C,35229-PICH 9C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ADAKITE,,,,QUATERNARY,WHOLE ROCK,MS,,LABORATOIRE DE GEOCHIMIE ISOTOPIQUE DE L^MUR 6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.984,15.577,38.67,
2003, [7890] BOURDON E. (2003),samp. PICH10,35229-PICH 10,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ADAKITE,,,,QUATERNARY,WHOLE ROCK,MS,,LABORATOIRE DE GEOCHIMIE ISOTOPIQUE DE L^MUR 6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15.584,38.708,
2002, [7935] BOURDON E. (2002),samp. PICH32K,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,57,0.52,15.6,8.02,,7.3,6.02,0.13,1.22,3.17,0.09,,,,,23,,195,265,,28,82,,,,,,45,415,12.5,77,2.4,,,,,,,565,9.8,18,,9.7,2.2,0.7,2.3,,2.1,,1.25,,1.23,,,,,,,,2.8,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH32K,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH4C,35229-PICH 4C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,57.7,0.56,16,7.45,,6.6,5.1,0.11,1.3,3.61,0.15,,,,,18,,177,165,,33,81,,,,,,29,505,10.8,81,3,,,,,,,550,12.1,25,,13,2.6,0.77,2.4,,2,,1.1,,0.99,,,,,,,,2.65,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH4C,35229-PICH 4C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH4C,35229-PICH 4C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,MS,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51288,0.704043,19.006,15.589,38.721,
2002, [7935] BOURDON E. (2002),samp. PICH8E,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,61.4,0.51,16.5,6.12,,5.57,3.06,0.09,1.75,4,0.15,,,,,12,,140,71,,19,38,,,,,,41.5,513,7.8,73,3,,,,,,,680,15,27,,13.5,2.7,0.81,2.6,,1.65,,0.8,,0.78,,,,,,,,4.1,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH8E,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH9C,35229-PICH 9C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,61.5,0.48,16.6,6.05,,5.6,2.9,0.09,1.54,3.97,0.14,,,,,12.5,,135,55,,29,26,,,,,,35.5,490,8.5,86,2.9,,,,,,,640,11.5,23,,11.8,2.6,0.72,2.6,,1.45,,0.85,,0.87,,,,,,,,2.85,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH9C,35229-PICH 9C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH9C,35229-PICH 9C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,MS,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512882,0.704065,18.992,15.585,38.698,
2002, [7935] BOURDON E. (2002),samp. PICH10,35229-PICH 10,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,65,0.45,16.2,5.2,,4.7,2.42,0.07,1.7,4.2,0.13,,,,,10.6,,115,80,,15,27,,,,,,38.5,505,6,88,3.1,,,,,,,740,10.8,22,,10.5,2.3,0.7,2.5,,1.3,,0.6,,0.64,,,,,,,,2.8,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH10,35229-PICH 10,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH10,35229-PICH 10,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,,,,QUATERNARY,WHOLE ROCK,MS,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512894,0.704055,18.996,15.579,38.692,
2002, [7935] BOURDON E. (2002),samp. PICH4A,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,63.8,0.41,16.7,5.5,,5,2.54,0.09,1.76,4.18,0.13,,,,,11.5,,120,48,,20,25,,,,,,42.5,518,9.5,74,2.8,,,,,,,800,12,22.5,,11,2.15,0.6,2,,1.75,,0.85,,0.84,,,,,,,,3.3,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH4A,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006, [9195] BRYANT J. A. (2006),samp. GP-1,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,,,,QUATERNARY,WHOLE ROCK,XRF,,WASHINGTON STATE UNIVERSITY,64.26,0.39,16.9,,4.47,5.24,2.55,0.09,1.78,4.19,0.13,,,,,11,,,,,,,,,,,,40,534,9.2,81,2.49,,,,,,1.02,782,12,20.9,2.43,9.92,2.28,0.68,1.99,0.3,1.78,0.34,0.9,0.13,0.78,0.12,2.39,0.18,,,6.83,,3.06,1.1,,,,,,
2006, [9195] BRYANT J. A. (2006),samp. GP-1,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,,,,QUATERNARY,WHOLE ROCK,ICPMS,,WASHINGTON STATE UNIVERSITY,,,,,,,,,,,,,,,,,,111,33,,,23,41,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006, [9195] BRYANT J. A. (2006),samp. GP-1,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,,,,QUATERNARY,WHOLE ROCK,TIMS,,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512888,0.703947,18.958,15.597,38.698,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05010,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,XRF,,UNIVERSITE DE LAUSANNE,62.77,0.48,17.04,5.82,,5.43,2.7,0.08,1.77,3.99,0.34,0.67,,,,,,104,54,,,22,76,64,,,,45,518,13.2,105,3.3,,,,,,,723,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05011,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,PLUTONIC ROCK,NOT GIVEN,XENOLITH,,,QUATERNARY,WHOLE ROCK,XRF,,UNIVERSITE DE LAUSANNE,48.27,0.33,10.08,9.93,,28.83,2.34,0.75,0.01,0.07,0.01,-0.49,,,,,,130,142,,,54,27,166,,,,0,120,22.7,8,3.2,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05012,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,XRF,,UNIVERSITE DE LAUSANNE,61.3,0.47,16.4,5.94,,5.51,2.67,0.09,1.78,3.84,0.34,1.24,,,,,,97,50,,,20,40,55,,,,44.1,526,9.9,105,3,,,,,,,757,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05013,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,XRF,,UNIVERSITE DE LAUSANNE,61.97,0.48,16.78,5.54,,5.14,2.84,0.08,1.84,3.84,0.34,0.48,,,,,,97,57,,,18,53,51,,,,46.3,492,8.4,109,3.3,,,,,,,788,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05010,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,ICPMS_LA,,UNIVERSITE DE LAUSANNE,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,0.72,,14.2,26.5,3.3,13.6,2.8,0.7,2.5,0.3,2.2,0.4,1.1,0.2,1.2,0.2,2.3,0.2,,,,,3.4,1.5,,,,,,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05011,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,PLUTONIC ROCK,NOT GIVEN,XENOLITH,,,QUATERNARY,WHOLE ROCK,ICPMS_LA,,UNIVERSITE DE LAUSANNE,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,0.35,,6.1,13,1.7,8.1,2.5,1.1,2.6,0.4,3,0.7,1.9,0.3,1.8,0.3,1,0.1,,,,,1,1,,,,,,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05012,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,ICPMS_LA,,UNIVERSITE DE LAUSANNE,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,0.73,,12.7,23.9,2.9,12.4,2.5,0.7,2,0.3,1.8,0.3,1,0.1,0.9,0.1,2.4,0.2,,,,,3.4,1.3,,,,,,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05013,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,ICPMS_LA,,UNIVERSITE DE LAUSANNE,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,0.63,,12,21.9,2.6,11.1,2.3,0.7,1.8,0.2,1.6,0.3,0.8,0.1,0.8,0.1,2.5,0.2,,,,,3.4,1.5,,,,,,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05010,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,TIMS,,UNIVERSITE DE GENEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512903,0.704041,19.017,15.593,38.78,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05011,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,PLUTONIC ROCK,NOT GIVEN,XENOLITH,,,QUATERNARY,WHOLE ROCK,TIMS,,UNIVERSITE DE GENEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5126,0.70686,18.607,15.651,38.548,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05012,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,TIMS,,UNIVERSITE DE GENEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512889,0.704002,18.957,15.575,38.69,
2009, [13717] CHIARADIA M.(2009)  [GeoReM [4548] ],samp. E05013,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,GUAGUA PICHINCHA,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,TIMS,,UNIVERSITE DE GENEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51287,0.704007,18.999,15.577,38.738,
2010, [14523] SAMANIEGO P. (2010),samp. PICH 144,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,EL CINTO,-0.17,-78.6,-0.17,-78.6,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,LA ESPERANZA LAVA FLOW,1100000,1100000,,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,58.3,0.6,15.85,7.58,,7.25,5.8,0.12,0.73,3.6,0.14,,7.4,0.62,,20,,174,425,,30,111,,,,,,,406,12,83,2.5,,,,,,,355,6.5,14,,8.2,2.25,0.72,2.6,,2.1,,1.2,,1.1,,,,,,,,1.2,,,,,,,
2010, [14523] SAMANIEGO P. (2010),samp. PICH 145A,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,EL CINTO,-0.17,-78.6,-0.17,-78.6,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,LA ESPERANZA LAVA FLOW,1100000,1100000,,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,59.7,0.59,17.1,6.62,,6.26,3.61,0.1,1.21,3.9,0.13,,10.9,0.75,,17,,155,90,,21,40,,,,,,,432,11.8,84,2.7,,,,,,,580,8.2,16.5,,9.4,2.25,0.72,2.6,,2.1,,1.2,,1.16,,,,,,,,1.6,,,,,,,
2010, [14523] SAMANIEGO P. (2010),samp. PICH 111C,77602-PICH 111C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,EL CINTO,-0.17,-78.6,-0.17,-78.6,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,LAVA FLOW,1100000,1100000,,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,61.3,0.57,16.9,6.44,,5.57,2.93,0.09,0.98,4.33,0.12,,10.2,0.74,14.8,13,,142,54,,20,31,,,,,,,401,10.5,80,2.7,,,,,,,450,6.1,13.5,,8.8,2,0.7,2.3,,1.85,,1,,0.85,,,,,,,,1,,,,,,,
2010, [14523] SAMANIEGO P. (2010),samp. PICH 104,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,EL CINTO,-0.17,-78.6,-0.17,-78.6,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,LAVA FLOW,1100000,1100000,,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,61.9,0.57,17.17,6.02,,5.94,2.87,0.1,1.12,4.27,0.15,,,,,14.5,,139,55,,17,22,,,,,,,480,12.8,90,3.1,,,,,,,550,8.5,17,,11,2.4,0.76,2.2,,2.1,,1.2,,1.2,,,,,,,,1.35,,,,,,,
2010, [14523] SAMANIEGO P. (2010),samp. PICH 111A,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,EL CINTO,-0.17,-78.6,-0.17,-78.6,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,LAVA FLOW,1100000,1100000,,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,61.75,0.57,16.9,6.39,,5.6,2.85,0.09,0.97,4.28,0.12,,,,,13,,92,53,,19,28,,,,,,,395,10.5,77,2.8,,,,,,,466,6.4,13.5,,9,2.2,0.7,2.5,,1.85,,1,,0.85,,,,,,,,0.9,,,,,,,
2010, [14523] SAMANIEGO P. (2010),samp. PICH 111B,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,EL CINTO,-0.17,-78.6,-0.17,-78.6,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,LAVA FLOW,1100000,1100000,,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,61.5,0.57,17.1,6.43,,5.02,2.76,0.09,1,4.15,0.12,,,,,13,,147,51,,20,31,,,,,,,371,10.4,81,3,,,,,,,555,7.1,13.5,,9.7,2.3,0.73,2.3,,1.9,,1,,0.85,,,,,,,,0.95,,,,,,,
2010, [14523] SAMANIEGO P. (2010),samp. PICH 21A,77602-PICH 21A,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,EL CINTO,-0.17,-78.6,-0.17,-78.6,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,UNGUI LAVA FLOW/DOME,910000,910000,,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,63.2,0.52,16.42,5.71,,5.37,3.03,0.08,1.03,4.48,0.11,,12.6,0.76,13.5,11.5,,125,109,,18,42,,,,,,,412,8,33,2.6,,,,,,,475,6.2,12.5,,8,2,0.65,2.3,,1.45,,0.8,,0.6,,,,,,,,0.65,,,,,,,
2010, [14523] SAMANIEGO P. (2010),samp. PICH 21B,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,EL CINTO,-0.17,-78.6,-0.17,-78.6,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,DACITE,UNGUI LAVA FLOW/DOME,910000,910000,,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,63,0.52,16.55,5.64,,5.2,2.59,0.08,1.1,4.51,0.12,,,,,10.7,,120,82,,17,36,,,,,,,418,8.4,63,2.7,,,,,,,490,6.7,13,,8.5,2.1,0.66,2.05,,1.5,,0.8,,0.66,,,,,,,,0.75,,,,,,,
